pH,DO(mg/l),CODMn(mg/l),NH3-N(mg/l),本周水质
8.02,9.55,1.6,0.04,1
8.02,10.5,1.8,0.11,1
7.73,10.3,2.5,0.19,2
7.75,10.5,3.0,0.2,2
8.02,10.8,2.3,0.22,2
7.35,10.3,1.7,0.21,2
7.23,10.7,3.5,0.2,2
7.57,10.1,2.6,0.64,3
7.24,10.7,2.0,0.21,2
7.94,9.39,2.6,0.16,2
8.29,10.5,8.3,0.07,4
7.89,10.9,2.0,0.06,1
6.78,9.65,1.7,0.12,1
7.56,10.6,2.5,0.2,2
8.04,9.44,1.9,0.14,1
6.81,6.42,0.9,0.33,2
7.25,13.9,1.8,0.25,2
7.44,9.48,2.3,0.79,3
6.55,9.0,4.9,0.27,3
7.4,10.2,2.0,0.15,1
8.16,9.25,0.9,0.05,1
8.13,8.77,1.3,0.19,2
7.92,9.38,1.5,0.08,1
7.92,8.96,1.9,0.21,2
7.78,11.6,3.4,0.19,2
7.73,10.1,3.2,0.25,2
7.95,10.1,1.9,0.25,2
7.59,10.5,1.9,0.18,2
7.56,9.68,2.7,0.55,3
7.12,10.2,2.3,0.22,2
7.72,8.49,3.0,0.25,2
8.27,9.99,1.6,0.06,1
7.8,10.8,1.6,0.12,1
6.88,9.35,1.2,0.22,2
8.21,9.23,0.9,0.02,1
7.4,10.2,2.4,0.15,2
8.09,9.51,1.1,0.07,1
7.75,8.76,1.9,0.36,2
7.66,10.2,3.2,0.18,2
7.67,9.48,3.0,0.2,2
7.98,10.1,1.9,0.27,2
7.43,8.03,1.3,0.2,2
7.59,9.64,2.7,0.65,3
7.47,9.59,2.0,0.24,2
7.71,8.07,2.5,0.23,2
8.17,9.59,1.4,0.06,1
7.74,10.8,1.8,0.19,2
7.96,9.27,2.0,0.16,2
7.46,10.6,2.8,0.16,2
6.91,8.38,1.1,0.28,2
6.98,5.82,1.6,0.3,3
7.22,13.5,1.7,0.25,2
7.5,9.19,2.2,0.78,3
6.48,9.01,1.8,0.36,2
8.13,9.43,1.5,0.15,1
8.22,9.29,0.9,0.02,1
7.39,9.83,2.4,0.19,2
8.04,9.53,1.1,0.08,1
7.73,8.04,1.8,0.29,2
7.63,9.64,2.6,0.26,2
7.64,9.41,2.9,0.14,2
8.43,11.2,2.2,0.28,2
7.49,8.78,2.8,0.21,2
7.64,9.78,2.6,0.46,2
7.58,9.69,1.9,0.19,2
7.8,8.48,2.5,0.17,2
8.17,9.46,1.4,0.07,1
7.71,11.0,2.1,0.19,2
7.86,8.79,1.9,0.17,2
7.62,10.4,2.5,0.14,2
7.23,8.17,1.5,0.2,2
7.04,6.38,1.0,0.28,2
7.22,12.4,2.8,0.24,2
7.57,8.92,2.3,0.65,3
6.64,8.62,1.8,0.33,2
8.07,8.89,1.7,0.14,1
7.82,10.9,1.9,0.16,2
8.46,11.0,1.8,0.23,2
7.62,10.0,1.7,0.19,2
7.85,8.68,2.5,0.19,2
8.14,9.76,1.5,0.07,1
7.75,11.5,2.1,0.06,2
7.52,8.58,2.0,0.13,1
7.57,10.6,2.5,0.14,2
7.26,8.05,2.0,0.21,2
7.35,8.29,0.9,0.36,2
7.27,12.3,3.5,0.22,2
7.72,7.45,2.2,0.65,3
6.64,8.6,1.7,0.37,2
7.38,9.4,2.3,0.17,2
8.16,8.98,1.1,0.01,1
8.05,9.1,1.7,0.14,1
7.95,9.37,1.3,0.07,1
8.34,10.8,2.9,0.16,2
7.68,9.93,2.2,0.23,2
7.69,9.59,3.0,0.15,2
7.67,10.1,2.0,0.41,2
6.95,1.44,5.4,1.87,6
7.48,7.76,1.0,0.1,1
7.39,9.63,1.3,0.27,2
7.4,6.5,1.2,0.15,2
8.05,7.95,1.2,0.11,1
7.83,9.26,1.3,0.19,2
6.63,10.0,1.5,0.1,1
7.82,8.25,1.1,0.02,1
7.9,7.96,0.9,0.13,1
7.88,9.61,2.0,0.09,1
7.02,8.44,1.6,0.12,1
7.91,7.96,0.7,0.2,2
7.11,2.68,4.5,2.0,5
7.39,7.24,1.0,0.1,2
8.13,8.45,0.9,0.0,1
7.33,6.27,1.5,0.11,2
8.39,10.5,1.1,0.06,1
7.66,10.0,1.6,0.27,2
6.47,7.91,1.4,0.11,1
7.27,8.86,1.4,0.31,2
7.61,7.6,3.0,0.11,2
7.27,9.36,1.5,0.39,2
7.24,6.42,1.6,0.12,2
8.14,10.3,1.2,0.28,2
7.3,4.31,3.7,1.36,4
6.65,7.36,1.6,0.08,2
8.11,8.36,1.1,0.0,1
6.89,8.54,1.9,0.13,1
7.82,7.84,0.5,0.21,2
7.69,9.85,1.7,0.15,1
6.53,6.12,1.8,0.42,1
7.39,7.7,1.9,0.14,1
7.79,7.13,1.1,0.24,1
7.17,3.03,3.4,2.07,6
8.07,7.93,0.9,0.01,1
7.28,9.37,1.6,0.43,2
7.2,6.1,1.6,0.13,2
7.9,7.58,1.6,0.09,1
7.56,8.77,1.9,0.15,2
7.48,6.37,1.8,0.16,1
6.87,7.46,1.7,0.2,2
7.78,6.71,1.7,0.22,2
7.05,1.7,4.9,1.07,6
7.32,6.34,1.3,0.12,2
8.08,8.52,1.0,0.01,1
7.26,5.74,1.3,0.12,3
7.57,7.17,2.6,0.22,2
7.59,8.87,1.8,0.27,2
6.63,7.87,1.6,0.03,1
7.27,8.9,1.4,0.1,1
7.83,6.85,1.0,0.22,2
7.11,2.57,4.1,0.93,5
7.47,6.61,1.6,0.14,2
7.53,8.75,1.4,0.44,2
6.98,7.57,1.6,0.24,2
7.67,7.81,2.1,0.19,2
7.52,8.67,0.7,0.28,2
6.68,8.27,1.7,0.01,1
8.02,8.33,0.8,0.01,1
7.21,5.23,1.5,0.11,3
6.58,7.15,1.4,0.21,2
7.88,6.64,1.1,0.21,2
7.09,1.87,4.2,0.49,6
7.53,6.59,1.7,0.13,2
7.49,8.39,1.1,0.22,2
8.07,8.21,0.8,0.01,1
7.6,8.19,1.4,0.41,2
7.15,4.94,1.3,0.12,4
8.02,7.7,1.4,0.21,2
6.72,7.88,2.1,0.04,2
7.0,6.37,1.4,0.19,2
7.71,5.83,1.4,0.19,3
6.88,1.74,3.8,1.07,6
7.32,6.67,2.7,0.08,2
8.11,7.61,0.9,0.02,1
7.24,5.39,1.6,0.12,3
7.75,6.53,1.6,0.33,2
7.53,8.04,1.2,0.26,2
6.62,7.17,2.1,0.05,2
7.17,6.46,1.4,0.31,2
7.05,2.13,3.9,1.02,5
7.49,6.71,1.3,0.09,2
7.31,7.49,1.3,0.2,2
7.32,6.04,1.6,0.16,2
8.07,7.64,0.9,0.01,1
7.7,6.24,1.0,0.17,2
7.79,6.45,1.1,0.2,2
7.47,7.68,0.9,0.31,2
7.22,6.98,2.2,0.06,2
6.89,7.26,1.5,0.18,2
6.99,7.68,1.7,0.18,2
7.7,6.25,1.3,0.15,2
6.92,2.79,3.7,0.32,5
7.55,6.77,1.4,0.16,2
8.07,7.56,0.8,0.01,1
7.38,6.47,1.5,0.19,2
8.01,6.85,1.3,0.21,2
7.72,8.31,0.8,0.33,2
8.01,6.93,1.7,0.05,2
7.45,7.97,1.4,0.13,1
7.68,6.85,1.3,0.2,2
7.78,8.38,0.9,0.34,2
7.87,6.62,1.6,0.06,2
8.19,7.76,0.8,0.0,1
7.46,5.67,1.3,0.17,3
7.7,6.19,1.4,0.19,2
6.66,2.2,3.6,0.48,5
7.44,6.63,2.0,0.14,2
7.63,7.51,1.4,0.14,1
6.34,7.8,1.8,0.22,2
6.66,7.8,1.7,0.26,2
7.75,6.16,1.9,0.14,2
6.96,1.82,3.8,0.71,6
7.45,6.41,1.8,0.17,2
8.17,7.6,0.8,0.02,1
7.48,5.95,1.5,0.15,3
7.76,6.47,1.5,0.2,2
7.66,7.93,0.9,0.26,2
7.92,6.44,1.7,0.07,2
7.7,7.3,1.4,0.18,2
6.95,7.7,1.4,0.28,2
7.33,5.85,1.5,0.14,3
8.07,6.95,2.0,0.19,2
7.58,7.69,1.2,0.24,2
7.77,8.12,1.4,0.14,1
8.14,7.66,0.8,0.02,1
7.72,6.28,2.1,0.11,2
6.92,1.76,3.1,0.46,6
7.43,6.29,1.5,0.13,2
7.85,6.55,2.0,0.07,2
7.72,6.62,2.7,0.19,2
7.38,6.4,1.6,0.17,2
7.73,6.54,1.9,0.08,2
8.08,7.71,1.3,0.01,1
7.44,6.99,1.6,0.15,2
7.66,6.05,3.2,0.14,2
6.91,2.73,2.7,0.48,5
7.47,6.32,1.5,0.14,2
7.46,6.69,1.6,0.14,2
6.52,7.48,1.6,0.28,2
7.02,7.45,1.1,0.29,2
7.73,6.4,2.3,0.15,2
6.88,1.88,2.9,1.17,6
7.42,6.69,1.3,0.13,2
7.97,7.69,2.4,0.02,2
7.28,5.75,1.7,0.15,3
7.6,6.52,2.0,0.2,2
7.42,6.55,2.3,0.2,2
7.6,6.45,2.0,0.09,2
7.39,6.64,1.7,0.12,2
6.95,7.4,1.2,0.29,2
7.65,6.12,2.1,0.17,2
7.0,1.82,3.1,0.73,6
7.38,6.27,1.4,0.12,2
8.03,7.42,1.0,0.01,2
7.38,6.24,1.7,0.16,2
7.55,6.72,2.1,0.19,2
7.52,6.32,1.1,0.19,2
7.59,6.88,1.6,0.11,2
7.48,6.67,2.2,0.19,2
7.28,7.6,1.6,0.39,2
7.66,6.03,3.8,0.11,2
7.08,2.6,2.5,0.38,5
7.41,6.53,1.3,0.11,2
7.16,3.91,1.7,0.17,4
7.39,6.59,1.3,0.15,2
8.01,7.62,1.8,0.01,1
7.35,7.36,3.0,0.16,2
7.55,5.83,2.1,0.18,3
7.56,7.1,2.3,0.18,2
7.6,5.65,2.1,0.18,3
6.5,7.97,2.2,0.23,2
7.61,5.82,4.2,0.14,3
7.06,2.97,2.5,0.27,5
7.53,6.27,1.7,0.12,2
6.5,6.59,1.7,0.2,2
7.4,7.19,3.4,0.17,2
7.26,4.58,2.5,0.18,4
7.18,6.43,1.7,0.43,2
8.0,7.65,2.1,0.02,2
7.14,8.02,2.2,0.18,2
6.55,5.14,2.8,0.11,3
6.98,2.48,2.4,0.48,5
7.45,6.2,1.8,0.11,2
8.0,7.14,3.4,0.03,2
7.27,5.31,2.4,0.19,3
7.33,5.04,2.0,0.21,3
7.27,5.98,2.6,0.15,3
7.32,6.38,1.4,0.08,2
6.84,7.9,1.7,0.19,2
8.3,6.74,2.8,0.08,2
7.0,2.6,1.9,0.92,5
7.64,6.24,2.0,0.11,2
7.96,7.15,1.2,0.02,2
7.48,5.73,1.8,0.21,3
7.51,5.65,1.8,0.22,3
7.22,6.37,4.4,0.21,3
7.27,6.63,1.0,0.08,2
7.12,7.88,1.4,0.28,2
8.4,7.71,2.2,0.1,2
7.11,2.18,2.4,0.71,5
7.64,6.68,1.5,0.04,2
7.98,7.07,1.1,0.02,2
7.41,5.43,1.5,0.19,3
6.96,5.53,2.6,0.27,3
7.45,6.6,3.7,0.11,2
7.15,6.93,1.4,0.03,2
6.96,1.66,2.5,0.6,6
7.57,6.72,1.7,0.04,2
7.0,7.51,1.5,0.13,1
7.47,5.7,1.6,0.16,3
7.28,8.01,1.5,0.32,2
7.69,7.4,3.2,0.09,2
6.9,6.62,1.7,0.23,2
8.01,7.02,1.1,0.01,2
8.58,7.01,2.2,0.14,2
6.47,7.32,2.4,0.24,2
8.63,6.59,3.1,0.14,2
6.95,2.52,2.2,0.76,5
7.2,6.72,1.9,0.05,2
7.12,7.05,1.3,0.13,2
7.19,7.84,1.2,0.13,1
6.86,4.45,6.8,0.26,4
7.35,7.32,2.9,0.16,2
6.98,6.53,1.3,0.04,2
8.05,7.08,1.1,0.01,2
7.59,6.38,1.6,0.16,2
7.0,7.9,1.6,0.11,1
8.58,6.33,4.0,0.12,2
7.11,3.45,2.2,0.42,4
7.48,6.74,1.8,0.15,2
8.03,7.06,1.9,0.01,2
7.39,6.2,2.0,0.11,2
6.75,7.07,3.1,0.22,2
6.84,6.61,1.9,0.12,2
7.4,7.36,1.3,0.09,2
7.05,8.44,2.2,0.16,2
6.96,7.41,1.4,0.26,2
8.48,7.28,1.3,0.12,2
7.07,4.41,2.4,0.35,4
8.07,7.22,1.1,0.01,2
7.33,6.49,2.5,0.16,2
7.67,6.94,2.3,0.1,2
7.84,7.41,1.2,0.24,2
6.33,6.82,3.0,0.19,2
7.3,6.19,2.0,0.05,2
6.24,6.1,1.5,0.37,2
8.43,7.13,0.8,0.1,2
6.99,2.97,2.1,0.54,5
7.59,6.09,2.0,0.13,2
8.11,7.31,1.3,0.03,2
7.65,7.21,2.4,0.08,2
7.89,7.56,0.5,0.24,2
6.68,7.15,2.2,0.21,2
6.88,7.74,2.5,0.09,2
7.22,7.63,1.1,0.17,2
6.6,6.92,2.1,0.27,2
8.3,7.38,1.2,0.11,2
6.96,3.34,2.0,0.52,4
7.45,6.17,2.0,0.04,2
8.42,7.22,1.0,0.02,2
7.32,5.87,2.0,0.13,3
7.78,6.86,1.9,0.22,2
6.86,7.97,1.3,0.21,2
6.8,7.1,2.2,0.04,2
7.22,8.28,1.3,0.09,1
6.49,7.02,1.8,0.33,2
8.34,7.61,0.8,0.1,1
7.02,3.72,2.6,0.29,4
7.18,6.99,2.0,0.1,2
8.25,7.15,0.9,0.02,2
7.36,5.66,1.8,0.12,3
7.76,6.79,1.9,0.18,2
7.2,7.73,3.1,0.09,2
6.9,6.32,1.5,0.06,2
7.22,8.48,1.8,0.11,1
6.82,7.3,1.9,0.2,2
8.35,10.1,1.2,0.11,1
7.05,3.16,2.6,0.26,4
7.17,6.61,1.6,0.12,2
8.25,7.53,1.2,0.01,1
7.43,6.05,1.6,0.13,2
7.04,7.66,1.2,0.23,2
6.16,8.41,3.1,0.1,2
6.88,6.55,1.9,0.09,2
7.33,8.45,1.6,0.16,2
6.02,7.12,2.6,0.37,2
8.13,9.67,1.9,0.1,1
7.12,4.1,2.8,0.25,4
7.17,6.97,1.3,0.14,2
8.13,6.88,1.1,0.02,2
7.46,6.72,1.2,0.16,2
6.7,7.88,0.6,0.11,1
6.65,8.04,3.9,0.1,2
6.75,5.89,1.9,0.07,3
6.55,9.05,2.4,0.2,2
6.44,7.1,2.2,0.16,2
8.26,9.56,1.2,0.09,1
7.04,2.77,2.6,0.41,5
6.47,8.04,1.4,0.17,2
8.11,7.5,0.8,0.02,1
7.38,6.51,1.5,0.17,2
6.71,8.05,0.7,0.0,1
6.38,8.1,5.5,0.12,3
6.93,6.46,1.4,0.09,2
6.71,7.66,1.0,0.21,2
6.69,6.88,1.5,0.29,2
8.14,11.4,0.9,0.09,1
6.98,3.0,2.7,0.44,4
6.66,7.27,1.7,0.19,2
7.94,7.26,1.2,0.02,2
7.43,6.72,1.5,0.18,2
6.7,8.65,1.1,0.0,1
6.52,6.4,6.7,0.12,4
6.69,6.55,1.7,0.11,2
6.42,7.32,1.1,0.21,2
6.72,7.51,1.6,0.29,2
8.15,11.6,1.2,0.1,1
6.98,3.23,2.7,0.55,5
7.85,7.35,2.2,0.18,2
7.95,7.35,1.5,0.04,1
7.54,6.49,1.4,0.2,2
6.69,7.45,1.5,0.0,1
6.28,7.05,6.7,0.16,3
6.62,6.16,2.6,0.12,1
6.33,9.12,1.7,0.17,2
7.0,7.8,2.4,0.19,2
8.0,10.9,1.8,0.1,1
7.0,2.9,2.6,0.71,5
7.9,7.4,2.0,0.19,2
8.1,7.6,1.2,0.03,1
7.5,6.2,1.5,0.19,2
6.7,8.0,1.4,0.0,1
6.5,8.6,5.7,0.07,3
7.0,6.9,1.8,0.09,1
6.4,9.5,1.3,0.15,2
6.94,7.85,1.7,0.15,2
8.12,11.6,1.3,0.11,1
6.97,1.79,3.0,1.65,5
7.61,6.95,1.5,0.17,2
8.01,7.76,0.6,0.03,1
7.48,6.28,1.5,0.2,2
6.67,7.71,1.0,0.43,1
6.75,8.57,5.2,0.16,3
7.05,7.3,1.7,0.09,1
6.37,8.76,0.9,0.2,2
7.17,8.12,1.3,0.23,2
8.03,10.9,0.6,0.14,1
6.98,2.76,3.0,1.0,5
7.17,7.49,2.1,0.18,2
8.05,8.18,0.7,0.03,1
7.5,7.0,1.6,0.2,2
6.65,7.99,1.3,0.15,1
6.59,8.78,5.0,0.2,3
6.89,7.66,2.0,0.07,1
6.44,9.3,1.2,0.23,2
7.22,8.3,1.2,0.2,2
7.87,9.64,0.3,0.14,1
7.06,3.55,4.2,1.12,4
7.1,8.51,2.2,0.16,2
7.97,7.56,0.9,0.03,1
7.61,7.2,1.4,0.2,2
6.65,8.04,1.4,0.21,2
6.47,8.53,3.5,0.27,2
6.92,6.97,2.0,0.08,2
6.63,7.68,1.4,0.15,1
6.77,9.22,1.3,0.26,2
6.95,7.3,1.7,0.07,2
7.98,8.04,1.1,0.03,1
7.51,8.67,1.1,0.27,2
6.64,8.37,1.7,0.11,1
6.99,1.97,2.7,3.07,6
7.14,8.59,1.8,0.2,2
6.76,9.35,1.1,0.19,2
7.66,7.72,1.4,0.22,2
7.92,9.11,1.2,0.11,1
7.42,8.67,1.2,0.2,2
8.03,8.94,1.1,0.11,1
6.95,2.2,2.7,2.52,6
7.13,8.12,1.4,0.19,2
7.94,7.68,1.1,0.03,1
7.64,8.17,1.2,0.21,2
6.67,8.11,1.7,0.11,1
6.89,9.23,1.3,0.23,2
6.91,7.65,1.6,0.07,1
6.93,10.1,1.0,0.15,1
7.25,9.06,1.1,0.15,1
7.98,9.13,1.2,0.11,1
6.98,3.22,2.2,1.31,4
7.11,6.73,1.6,0.21,2
7.99,8.46,1.1,0.03,1
7.61,8.14,1.3,0.19,2
6.71,8.29,1.7,0.18,2
7.1,9.75,1.2,0.17,2
6.97,8.65,1.4,0.08,1
6.79,11.1,0.9,0.15,1
6.92,3.94,2.3,1.11,4
7.06,7.88,1.6,0.18,2
7.35,10.9,0.9,0.18,2
7.57,8.5,1.3,0.21,2
7.8,9.22,1.1,0.11,1
7.28,9.81,1.2,0.18,2
6.91,9.08,0.9,0.06,1
8.11,9.11,0.9,0.03,1
7.38,9.01,1.0,0.21,2
6.75,8.31,1.4,0.18,2
7.27,9.15,0.8,0.24,2
7.68,9.35,1.1,0.14,1
6.92,4.88,2.0,0.81,4
7.05,7.85,1.7,0.19,2
8.36,9.18,0.8,0.03,1
7.71,8.89,1.4,0.19,2
6.78,8.71,1.7,0.14,1
7.35,9.93,1.1,0.19,2
6.83,8.15,0.9,0.03,1
7.26,11.0,0.7,0.16,2
7.0,9.02,0.7,0.32,2
7.63,9.86,1.0,0.51,3
7.01,5.48,2.1,0.61,3
7.22,7.18,1.9,0.19,2
8.34,9.64,1.1,0.04,1
7.62,8.7,1.9,0.18,2
7.5,9.65,1.4,0.16,2
7.29,9.91,1.3,0.21,2
6.78,10.6,1.0,0.03,1
6.96,8.83,2.1,0.25,2
6.73,10.6,0.9,0.03,1
8.23,9.56,1.0,0.02,1
7.21,9.37,0.8,0.33,2
8.01,8.84,1.6,0.15,1
7.08,7.22,2.0,0.57,3
7.28,8.77,2.2,0.2,2
7.66,9.23,1.7,0.2,2
7.8,12.9,1.0,0.16,2
7.24,8.83,0.8,0.28,2
8.0,12.3,1.0,0.12,1
7.0,5.91,2.5,1.15,4
7.42,8.75,1.9,0.23,2
8.23,10.1,0.9,0.02,1
7.68,9.19,1.3,0.23,2
8.13,8.78,0.9,0.21,2
7.1,8.47,1.9,0.14,1
6.64,10.9,0.6,0.17,2
7.53,11.7,0.7,0.22,2
7.62,9.04,0.9,0.12,1
7.94,11.6,0.9,0.16,2
7.02,3.92,2.0,1.11,4
7.46,9.25,1.7,0.18,2
8.17,8.96,0.8,0.02,1
7.73,8.44,1.3,0.23,2
8.44,8.67,0.9,0.19,2
7.09,7.08,1.6,0.12,2
6.62,9.8,0.4,0.15,1
7.47,11.2,0.9,0.15,1
8.01,8.85,0.7,0.19,2
7.16,7.38,1.2,0.2,2
6.84,3.7,2.4,1.72,5
7.41,8.64,1.6,0.2,2
8.17,8.6,1.1,0.02,1
7.85,7.95,1.1,0.19,2
8.22,8.42,0.9,0.18,2
7.38,8.41,2.9,0.08,2
6.69,9.05,1.1,0.19,2
7.33,10.4,0.7,0.13,1
8.08,8.17,1.2,0.14,1
7.36,9.41,1.2,0.05,1
7.14,9.4,1.2,0.16,2
8.13,8.46,0.8,0.01,1
7.72,7.61,1.2,0.15,1
6.86,5.31,1.1,0.22,3
6.82,2.49,2.9,3.06,6
7.26,7.82,1.6,0.2,2
7.18,10.3,0.8,0.14,1
7.65,8.25,0.7,0.2,2
7.72,8.53,0.8,0.33,2
8.2,8.03,1.6,0.16,2
7.78,9.74,1.0,0.11,1
7.06,9.88,1.1,0.18,2
8.09,7.58,1.1,0.13,1
6.88,6.22,1.1,0.21,2
6.96,4.27,2.2,1.29,4
7.48,8.04,1.6,0.2,2
7.4,11.6,0.7,0.11,1
8.11,9.05,0.8,0.01,1
8.22,12.8,4.6,0.28,3
7.99,11.4,4.4,0.19,3
8.12,12.3,4.6,0.27,3
7.77,11.7,3.5,0.34,2
8.24,11.4,6.4,0.26,4
7.63,10.6,3.5,0.31,2
7.63,10.2,3.5,0.34,2
8.07,9.29,5.1,0.28,3
7.37,8.83,4.3,0.28,3
8.16,8.84,7.6,0.12,4
7.61,9.18,5.1,0.25,3
8.09,9.17,7.9,0.19,4
7.58,9.0,4.2,0.24,3
7.98,8.81,6.4,0.18,4
7.67,7.43,4.0,0.22,2
7.37,7.75,4.7,0.23,3
7.15,2.0,7.5,0.18,5
8.61,8.57,6.0,0.18,3
7.11,1.62,6.0,0.21,6
7.8,6.33,6.1,0.26,4
7.06,4.26,5.3,0.37,4
7.61,6.34,5.2,0.21,3
7.0,3.97,2.9,0.29,4
7.23,4.83,4.4,0.3,4
6.93,3.33,4.5,0.31,4
7.24,4.99,3.8,0.26,4
8.5,7.26,6.1,0.25,4
7.43,5.32,0.0,0.21,3
7.44,6.81,3.6,0.29,2
7.57,6.59,4.8,0.3,3
7.28,6.48,3.6,0.27,2
7.06,6.28,5.5,1.18,4
7.32,6.73,3.4,0.28,2
6.99,6.93,5.2,0.18,3
7.08,7.1,5.3,0.23,3
7.35,6.7,3.5,0.24,2
7.1,6.72,6.3,0.51,4
7.29,6.47,3.6,0.11,2
7.32,6.26,4.3,0.28,3
7.21,8.77,5.2,0.24,3
6.77,8.3,4.4,0.18,3
7.43,7.26,3.6,0.16,2
7.11,8.88,5.0,0.5,3
7.49,9.03,3.8,0.3,2
7.12,7.63,3.7,0.26,2
7.49,8.3,3.4,0.35,2
7.17,8.03,3.0,0.35,2
7.74,9.31,5.1,0.29,3
7.9,11.8,7.2,1.0,4
7.35,9.61,3.6,0.36,2
7.39,10.8,3.5,0.36,2
7.54,12.1,6.3,0.21,4
7.66,12.0,5.5,0.21,3
7.42,10.9,2.6,0.35,2
7.38,13.0,5.0,0.21,3
7.43,11.6,1.9,0.34,2
7.44,11.1,3.5,0.25,2
7.54,13.0,4.8,0.22,3
7.57,13.5,5.3,0.35,3
7.45,11.3,3.7,0.3,2
7.48,11.3,3.8,0.27,2
7.34,12.7,4.9,0.31,3
7.3,9.99,3.1,0.18,2
7.13,11.6,4.9,0.57,3
7.15,11.5,4.9,0.54,3
7.31,9.75,3.7,0.27,2
7.33,10.1,4.3,0.31,3
7.28,12.1,4.2,0.36,3
8.15,6.31,16.3,0.3,6
8.19,7.06,9.9,0.19,4
8.4,6.5,12.0,0.28,5
8.3,5.5,16.9,0.28,6
8.32,6.32,12.7,0.26,5
8.51,5.29,16.5,0.26,6
8.15,5.12,10.3,0.39,5
8.62,5.04,16.8,0.25,6
8.28,5.37,12.0,0.35,5
8.62,4.63,17.6,0.36,6
8.25,5.82,5.9,0.47,3
9.11,8.14,9.2,0.27,6
9.41,7.94,10.8,0.1,6
8.11,7.51,6.4,0.46,4
7.28,8.22,4.9,0.53,3
7.12,9.12,6.5,0.47,4
7.8,6.37,6.5,0.35,4
9.44,7.87,10.6,0.09,6
9.11,8.58,6.2,0.23,6
9.63,7.72,11.5,0.08,6
9.16,10.7,11.6,0.46,6
9.62,7.47,11.5,0.06,6
8.97,10.4,12.9,0.49,5
9.62,7.36,7.4,0.04,6
8.1,6.29,13.0,2.2,6
9.22,7.48,4.2,0.07,6
9.52,7.18,6.3,0.08,6
7.27,4.22,12.9,2.2,6
9.27,6.94,6.6,0.04,6
7.58,5.16,13.0,2.21,6
7.57,5.46,12.4,2.21,6
9.35,7.27,7.0,0.05,6
7.76,5.12,11.3,2.08,6
9.09,7.1,7.9,0.11,6
7.84,5.87,10.5,1.97,5
9.42,6.5,8.0,0.09,6
9.25,6.35,4.1,0.12,6
7.71,5.56,7.5,1.45,4
7.89,5.77,6.5,1.56,5
8.42,6.95,7.1,0.24,4
8.88,6.31,7.2,0.23,4
7.74,5.84,6.7,1.3,4
8.81,6.57,8.1,0.14,4
7.74,6.65,7.1,1.4,4
7.44,6.26,11.9,1.05,5
8.56,6.85,9.3,0.08,4
9.26,6.97,7.1,0.07,6
7.58,5.79,16.2,0.96,6
7.58,5.79,16.2,0.96,6
9.26,6.97,7.1,0.07,6
9.35,6.95,5.7,0.06,6
7.53,6.03,8.1,0.86,4
7.53,6.03,8.1,0.86,4
9.35,6.95,5.7,0.06,6
7.9,7.03,16.9,0.67,6
9.28,7.16,7.4,0.06,6
7.73,5.73,10.3,0.66,5
9.27,7.35,2.3,0.06,6
7.94,7.04,9.2,0.81,4
9.41,7.2,2.7,0.06,6
9.41,7.2,2.7,0.06,6
7.94,7.04,9.2,0.81,4
9.39,7.08,4.6,0.07,6
7.69,4.84,9.0,0.66,4
8.01,5.72,8.9,0.56,4
9.43,6.67,5.4,0.06,6
7.54,6.4,9.0,0.58,4
9.35,6.52,6.5,0.06,6
9.19,6.43,8.5,0.05,6
7.47,5.81,8.6,0.54,4
8.29,12.2,2.4,0.44,2
8.2,10.7,3.3,0.18,2
8.34,7.84,8.6,3.43,6
7.61,2.08,9.0,10.4,6
7.52,8.61,6.2,1.55,5
8.18,10.7,2.0,0.08,1
8.46,12.3,2.9,0.35,2
8.3,11.5,1.8,0.21,2
8.1,9.6,3.1,0.16,2
8.3,5.3,7.4,3.58,6
7.5,2.8,11.2,10.8,6
7.7,9.8,5.2,1.59,5
7.9,10.8,2.0,0.06,1
8.2,11.4,3.0,0.3,2
8.1,12.1,1.3,0.25,2
7.62,3.02,8.0,7.62,6
8.14,5.17,6.9,2.98,6
8.09,9.15,2.2,0.13,2
7.61,8.95,4.8,1.37,4
7.46,10.7,2.0,0.06,1
8.37,11.6,2.8,0.49,2
8.07,12.3,1.4,0.24,2
8.22,9.2,2.5,0.14,2
8.0,7.56,5.9,1.45,4
7.87,9.14,1.9,0.05,1
8.33,9.72,6.5,1.65,5
7.61,2.4,7.6,5.82,6
8.13,11.9,2.6,0.35,2
8.07,12.3,1.8,0.2,2
7.82,9.12,4.9,0.59,3
7.88,11.2,2.0,0.54,3
8.27,8.9,4.2,0.12,3
7.87,9.96,1.8,0.06,1
7.67,2.01,6.7,5.67,6
7.95,10.4,6.8,5.88,6
8.12,11.5,3.3,0.16,2
8.13,8.51,3.6,0.12,2
7.87,6.87,9.7,2.54,6
7.83,10.3,2.3,0.45,2
7.74,9.25,2.0,0.1,1
7.68,2.29,8.5,4.78,6
7.88,10.5,9.3,5.57,6
8.14,11.4,2.4,0.13,2
7.93,9.07,2.6,0.22,2
7.51,2.05,7.2,2.22,6
8.17,2.53,5.5,5.59,6
7.89,10.1,7.2,1.8,5
7.8,8.84,2.0,0.11,1
7.84,9.19,1.9,0.42,2
7.15,3.26,6.9,2.26,6
7.79,7.98,2.5,0.4,2
7.83,8.79,6.3,1.86,5
7.97,9.89,2.6,0.28,2
8.67,2.67,9.4,2.48,6
8.1,10.5,2.1,0.13,2
7.81,8.59,1.6,0.13,1
