pH,DO(mg/l),CODMn(mg/l),NH3-N(mg/l),本周水质
8.09,12.3,1.1,0.26,2
8.47,12.3,1.4,0.17,2
7.64,6.91,4.0,1.93,5
7.31,2.31,4.5,1.61,5
7.58,11.8,3.5,0.79,3
7.6,10.8,1.5,0.03,1
7.6,10.3,0.0,0.32,2
8.23,12.2,1.1,0.26,2
8.47,12.1,1.5,0.22,2
7.82,7.89,3.5,1.44,4
7.38,8.5,5.5,1.22,4
7.79,11.4,3.0,0.96,3
7.24,11.2,1.5,0.05,1
8.61,11.4,0.0,0.27,2
8.12,8.82,4.7,0.58,3
8.66,15.9,3.7,0.13,2
7.1,11.3,3.1,0.39,2
8.12,9.98,5.0,0.23,3
7.92,9.34,2.2,0.4,2
8.14,10.8,2.8,0.29,2
8.08,11.4,4.1,0.51,3
7.27,12.7,3.6,0.57,3
7.74,11.4,2.9,0.17,2
8.55,10.5,2.2,0.49,2
8.43,17.2,4.1,0.13,3
7.68,10.1,4.7,0.12,3
8.37,13.4,3.9,0.33,2
8.34,11.0,3.8,0.22,2
8.56,12.6,10.2,0.16,5
8.08,12.2,4.0,0.09,2
8.59,12.3,3.2,0.2,2
7.27,3.87,3.5,2.91,6
7.73,10.4,3.6,0.12,2
8.46,9.65,4.5,0.14,3
8.78,12.4,3.2,0.58,3
8.02,17.8,2.0,0.15,1
8.15,11.3,3.4,0.16,2
7.8,13.5,4.5,0.3,3
8.1,12.4,5.8,0.31,3
7.32,8.9,4.3,0.34,3
7.3,5.73,3.7,4.0,6
8.43,11.4,4.0,0.21,2
8.38,9.72,3.3,0.17,2
8.85,14.3,3.2,0.56,3
8.03,18.3,2.2,0.16,2
7.66,13.4,2.8,0.21,2
7.7,15.9,4.3,0.15,3
7.95,11.1,5.7,0.45,3
8.67,14.8,3.8,0.21,2
7.44,9.7,2.2,0.25,2
6.76,13.5,2.3,0.23,2
8.2,10.1,4.5,0.19,3
7.85,8.86,2.2,0.38,2
8.22,9.67,3.4,0.21,2
8.06,11.5,3.5,0.4,2
7.33,12.1,3.3,0.56,3
8.04,10.8,2.9,0.15,2
8.38,10.7,0.0,0.24,2
8.4,16.9,4.3,0.19,3
7.6,10.2,4.2,0.12,3
8.21,12.4,3.2,0.5,2
8.12,8.83,3.9,0.61,3
8.52,11.9,5.4,0.19,3
8.68,12.0,10.1,0.11,5
8.02,11.6,4.0,0.07,2
7.7,9.93,4.0,0.13,2
8.6,11.2,5.8,0.12,3
8.81,16.0,5.6,0.09,3
8.35,7.81,9.6,0.1,4
7.96,8.82,4.1,0.08,3
8.24,9.46,3.7,0.17,2
7.33,6.7,3.4,3.32,6
7.42,7.73,4.4,0.17,3
8.26,10.5,3.0,0.2,2
8.79,13.2,3.0,0.22,2
7.9,16.0,2.3,0.45,2
7.99,13.2,3.3,0.2,2
7.64,15.9,4.0,0.14,2
7.79,10.2,5.5,0.5,3
7.33,8.24,2.4,0.47,2
6.61,10.3,3.0,0.36,2
8.05,8.8,4.3,0.18,3
7.9,8.03,2.8,0.38,2
8.01,8.98,3.0,0.12,2
8.85,10.1,4.2,0.24,3
7.12,11.2,3.0,0.65,3
7.62,11.1,2.8,0.19,2
8.74,9.72,2.2,0.28,2
8.05,14.8,6.2,0.36,4
7.56,10.2,3.8,0.15,2
8.29,11.8,5.4,0.27,3
8.23,9.71,6.0,0.55,3
7.41,8.12,3.3,0.22,2
8.98,14.1,3.8,0.09,2
7.39,8.5,4.6,0.19,3
7.97,7.83,3.3,0.37,2
8.0,8.25,2.8,0.1,2
8.81,9.51,3.5,0.16,2
8.19,10.6,3.3,0.57,3
7.46,10.3,3.0,0.2,2
8.25,9.35,2.3,0.26,2
7.68,9.59,4.6,0.45,3
7.52,9.78,4.3,0.13,3
8.33,11.4,6.7,0.24,4
8.27,9.65,6.1,0.52,4
8.53,10.6,6.0,0.15,3
8.2,6.08,7.9,0.11,4
7.82,7.11,3.9,0.06,2
8.19,7.75,2.2,0.21,2
7.3,4.08,4.2,2.23,6
7.46,7.88,4.4,0.16,3
8.29,9.65,3.2,0.19,2
8.84,13.2,3.1,0.3,2
7.88,14.8,1.8,0.3,2
7.42,11.8,3.1,0.17,2
7.55,11.9,4.7,0.1,3
7.75,8.5,4.4,0.49,3
7.21,9.32,2.7,0.17,2
7.65,11.0,1.8,0.15,1
8.71,9.61,3.7,0.4,2
7.3,7.26,3.9,0.18,2
7.21,4.1,3.3,2.0,5
7.36,7.01,2.8,0.06,2
7.61,6.69,3.6,0.28,2
7.85,7.27,4.1,0.08,3
8.56,8.09,4.4,0.12,3
7.08,8.57,3.6,0.55,3
7.45,10.7,4.1,0.16,3
8.71,8.15,3.1,0.19,2
7.54,8.58,4.2,0.32,3
7.31,8.63,3.8,0.18,2
7.98,9.64,6.8,0.14,4
8.27,8.71,5.6,0.39,3
8.0,8.02,6.1,0.41,4
8.34,9.25,9.5,0.15,4
7.93,6.49,3.5,0.07,2
8.06,6.13,3.1,0.11,2
7.53,8.61,4.8,0.13,3
7.74,7.32,3.2,0.15,2
8.66,12.5,3.0,0.3,2
8.16,9.45,3.9,0.12,2
7.91,10.9,4.0,0.11,2
8.17,8.48,6.6,0.19,4
7.21,7.3,4.6,0.2,3
7.21,7.34,4.9,0.16,3
8.75,10.3,4.1,0.36,3
7.83,6.87,2.7,0.08,2
8.72,12.8,3.0,0.33,2
7.22,7.19,6.2,0.06,4
7.77,7.48,3.2,0.08,2
7.49,6.73,4.2,0.32,3
8.49,6.97,3.9,0.11,2
7.3,9.09,0.0,0.3,2
7.85,9.13,3.6,0.12,2
8.92,8.06,2.9,0.31,2
7.45,7.43,4.6,0.45,3
7.17,8.81,4.0,0.45,2
7.99,9.89,6.2,0.12,4
8.35,9.73,5.8,0.33,3
7.99,7.68,6.8,0.58,4
7.83,8.07,3.3,0.07,2
8.01,7.51,2.7,0.61,3
7.19,4.14,4.1,2.59,6
7.69,7.49,5.1,0.14,3
7.77,7.54,3.6,0.21,2
7.61,10.4,1.8,0.14,1
8.01,8.96,4.2,0.14,3
8.08,17.4,5.1,0.15,3
8.27,9.14,7.3,0.15,4
8.51,12.1,11.7,0.11,5
8.06,7.72,7.9,0.38,4
7.75,6.99,5.2,0.17,3
7.56,9.36,1.8,0.14,1
8.01,10.7,3.5,0.11,2
8.43,9.55,8.0,0.12,4
8.7,11.1,4.4,0.29,3
7.9,6.47,3.4,0.07,2
7.16,3.73,5.1,1.64,5
7.74,7.37,2.2,0.57,3
7.27,7.79,5.3,0.16,3
7.14,6.75,4.9,0.33,3
7.42,5.75,4.7,0.22,3
7.67,6.0,2.9,0.11,2
8.34,6.08,3.7,0.16,2
7.28,8.45,7.5,0.27,4
7.98,7.86,2.9,0.14,2
8.65,7.88,3.4,0.17,2
7.31,7.12,4.7,0.56,3
7.2,8.55,3.4,0.95,3
7.74,8.51,8.3,0.35,4
8.36,10.2,6.0,0.29,3
7.11,7.57,4.6,0.24,3
8.2,8.86,10.9,0.34,5
7.95,6.05,3.6,0.06,2
7.88,6.66,1.9,0.9,3
8.52,11.8,2.9,0.27,2
6.95,5.38,0.0,0.36,3
8.45,9.38,5.5,0.19,3
7.06,4.21,5.4,0.18,4
7.31,3.6,5.6,0.28,4
7.48,4.95,4.4,0.07,4
8.13,4.3,2.3,0.29,4
7.09,5.37,8.8,0.25,4
7.15,5.83,3.2,0.4,3
8.79,7.45,2.7,0.15,2
7.27,6.05,4.2,0.55,3
7.23,8.4,3.8,0.82,3
7.66,8.9,5.9,0.16,3
8.41,8.36,6.7,0.22,4
8.1,6.03,6.4,1.2,4
7.12,7.0,3.9,0.04,2
7.99,4.9,11.2,1.1,5
8.0,5.87,3.4,0.06,3
7.78,6.79,3.4,0.47,2
7.18,2.89,1.8,3.01,6
7.5,4.28,6.0,0.23,4
7.78,6.13,2.4,0.11,2
8.53,9.75,3.1,0.34,2
7.52,7.58,1.8,0.15,1
7.93,9.55,1.4,0.06,1
7.69,7.27,4.2,0.75,3
8.58,9.07,4.3,0.16,3
8.04,6.06,5.1,0.13,3
6.98,2.92,6.1,0.11,5
8.67,8.14,6.5,0.03,4
8.75,2.89,4.7,0.1,5
8.52,10.7,6.4,0.19,4
8.97,11.6,5.8,0.15,3
7.82,3.29,4.3,0.64,4
9.27,6.68,13.3,0.15,6
8.91,7.95,1.9,0.07,1
7.09,3.1,2.0,0.17,4
7.2,3.31,4.8,1.84,5
7.98,6.55,6.9,1.25,4
7.53,5.22,5.4,0.31,3
7.73,6.81,4.6,0.99,3
7.17,4.22,4.0,0.82,4
7.41,4.78,4.4,0.35,4
7.14,4.42,7.3,1.01,4
7.17,5.21,7.8,1.24,4
8.09,7.93,9.8,0.87,4
7.16,3.05,4.9,0.09,4
7.26,5.78,1.5,0.05,3
7.75,3.91,4.0,0.04,4
7.25,7.3,8.6,1.06,4
7.07,9.19,3.0,0.15,2
7.97,4.63,3.7,0.05,4
7.63,6.73,4.9,0.44,3
7.82,8.05,4.9,0.07,3
6.79,6.66,3.4,0.25,2
6.89,6.24,3.3,0.33,2
7.51,4.17,8.6,0.72,4
7.05,2.03,6.5,0.24,5
7.35,2.94,5.7,0.1,5
7.48,6.15,1.0,0.05,2
7.8,4.65,4.0,0.08,4
7.2,6.36,8.3,1.03,4
6.69,6.08,3.0,0.34,2
7.76,2.68,3.5,0.19,5
7.52,6.3,4.8,0.65,3
7.42,7.37,4.6,0.25,3
8.63,8.61,8.4,0.11,4
8.58,9.25,6.7,0.15,4
8.59,10.4,6.7,0.44,4
7.85,4.78,4.7,1.36,4
8.91,6.4,10.7,0.2,5
8.82,7.73,1.7,0.07,1
7.06,3.05,2.9,1.57,5
7.15,3.85,4.0,1.89,5
7.39,4.22,8.1,2.88,6
7.46,5.41,5.3,1.11,4
7.69,6.38,4.1,1.16,4
7.57,5.89,4.1,1.62,5
7.52,5.34,3.2,0.16,3
7.42,4.35,6.3,0.66,4
7.65,4.48,7.1,0.53,4
